text,label,label_by_model,notes
[Highlight] Nathan Lukes hits a solo homer to make it 3-0 for the Jays,Media & Highlights,Media & Highlights,
[Highlight] David Fry hits a solo shot to tie the game at 1,Media & Highlights,Media & Highlights,
Kahlil Watson makes a great running catch in his major league debut,Media & Highlights,Media & Highlights,
[Highlight] Brooks Lee hits his 12th home run of the year! Twins take a 4-0 lead in the 1st,Media & Highlights,Media & Highlights,
[MLBTR] Cardinals Designate Chris Roycroft For Assignment,News & Official,News & Official,
Guardians prospect Cooper Ingle is 4-4 today with 3 home runs and a double,Media & Highlights,Facts & Analysis,Could be Facts & Analysis because of statistical performance fact
[LASR] Finding player comps from this year to 20 years ago,Facts & Analysis,Facts & Analysis,
"[Sheehan] Many of the greatest players ever were good major leaguers at 19-21. MLB’s draft proposal would make it almost impossible for a player to debut before he is 22. I think it would also wreck free agency, as almost no player would get there before age 28.",Discussions & Opinions,Discussions & Opinions,
"MLB Seeks Sweeping Draft Overhaul, Including End Of High School Eligibility",News & Official,News & Official,
"[Gonzalez] Sources: MLB proposes international draft as part of CBA talks. MLB's int’l draft would be restricted to players who are at least 18 years old, as opposed to 16 under the current system. It would consist of 12 hard-slot rounds, with an initial signing-bonus pool totaling $200m",News & Official,News & Official,
[Highlight] Vlad Guerrero Jr hits just his 4th homer of the year to open the scoring,Media & Highlights,Media & Highlights,
"As a ballpark rises in Las Vegas, owner John Fisher is pitching his A’s — and himself",News & Official,News & Official,
Minor league baseball team York Revolution forfeits LGBT Night game after players refuse to wear jerseys with rainbow sleeves,News & Official,News & Official,
Umpire denies Jasson Dominguez a challenge on a pitch that was 6 inches outside of the strike zone,Media & Highlights,Media & Highlights,Could be Facts & Analysis because it references strike-zone location
"We asked MLB fans about potential lockouts, labor talks and more. Here’s what you had to say (Gift Article)",Facts & Analysis,Discussions & Opinions,Could be Discussions & Opinions because of community opinions
"[Matheson] Anthony Santander is scheduled to start hitting ""either this weekend or next"", John Schneider said. So, sometime soon. ""There's a shot he could definitely be a factor."" Long road from here, which will essentially be a full, slow, Spring Training build-up. We'll see.",Discussions & Opinions,News & Official,Could be News & Official because of injury/recovery update
"Kyle Stowers now has 4 games as a Marlin with 10+ total bases, tied with Giancarlo Stanton for the most in franchise history",Facts & Analysis,Facts & Analysis,
J-Rod day to day after exiting early with hamstring spasm,News & Official,News & Official,
[TJStats] Top 100 MLB Prospect Newcomers & Risers,Facts & Analysis,Facts & Analysis,Rankings are based on statistical evaluation
Daniel Espino's Emotional MLB Debut. Full Tom Hamilton Call,Media & Highlights,Media & Highlights,
[Serious] Division Discussion Thread - The Centrals,Discussions & Opinions,Discussions & Opinions,
Official 2026 All-Star Game Hats and Gear Released,News & Official,News & Official,
[OC] Does your team win by a lot? Do they lose by a lot?,Facts & Analysis,Facts & Analysis,
[OC] Team Performance on Thursdays vs Non-Thursdays,Facts & Analysis,Facts & Analysis,
Sal Stewart AMA!! The Cincinnati Reds standout will be joining us today to answer YOUR questions!!,Discussions & Opinions,Discussions & Opinions,
"Last Sunday, Jackson Chourio became the 20th-youngest player (and youngest Brewer) to hit 50 career HR",Facts & Analysis,Facts & Analysis,
The Nationals over their last 11 series: 9-1-1,Facts & Analysis,Facts & Analysis,
???? Results of the Baseball European Federation Cups 2026 – Slovakia Group. This tournament corresponds to the fourth tier of European club baseball.,Facts & Analysis,News & Official,Could be News & Official because of showing tournament results/news
Do player's contracts pause if we have a full season lockout next year?,Discussions & Opinions,Discussions & Opinions,
"[Baer] One year later, the Rafael Devers trade is a win-win — just not for the Red Sox or Giants",Discussions & Opinions,Discussions & Opinions,"Journalist-written article, but it is an argument/opinion"
Has there been an analytics exodus?,Discussions & Opinions,Discussions & Opinions,
All-Star Rosters by fWAR: Week of 2026-06-17,Facts & Analysis,Facts & Analysis,
"Daniel Espino has his first big league strikeout. Once one of baseball's best pitching prospects, two shoulder surgeries kept him out of game action for 1,241 days.",Media & Highlights,Media & Highlights,"Contains a statistical note (1,241 days) but centers on the strikeout moment itself"
[Pitching Highlight] Kyle Bradish's career high 12 K outing,Media & Highlights,Media & Highlights,
Zack Gelof homers in the 9th to extend his hit streak to 21 games,Media & Highlights,Media & Highlights,
Dominic Canzone and Cole Young back to back Home Runs on back to back pitches to start the 9th,Media & Highlights,Media & Highlights,
"With the White Sox losing twice in a row to the Yankees by 5+ runs, all teams in the AL Central now have negative run differential",Facts & Analysis,Facts & Analysis,
The Pirates bat around the order against the A's in the Top of the 7th,Facts & Analysis,Media & Highlights,Could be Media & Highlights because of saying about in-game events
"Final line for Kyle Bradish tonight: 7.2 IP, 5 H, 1 ER, 2 BBs, career high-12 Ks. 100 P-65 strikes, season ERA at 4.00",Facts & Analysis,Facts & Analysis,
Marcell Ozuna blasts a 448-foot solo dinger to left-center in the 7th,Media & Highlights,Media & Highlights,
(with replays) Tyler O'Neill takes one away from Cal Raleigh in the 6th,Media & Highlights,Media & Highlights,
[Kowatsch] Julio Rodriguez exits the game before the top of the seventh. Victor Robles moves to center field and Rob Refsnyder in at right.,News & Official,News & Official,
"Paul Goldschmidt this season: .301/.368/.560, 1.5 bWAR, 1.7 fWAR, 151 OPS+ and a 153 wRC+. He is being paid $4m by the Yankees.",Facts & Analysis,Facts & Analysis,
No. 1 prospect Jesus Made leaves game with quad contusion,News & Official,News & Official,
The Orioles execute a nice relay to get Connor Joe trying to make it up to the third on an E8,Media & Highlights,Media & Highlights,
"[Highlight] Ryan O'Hearn hits a 2-run home run, he now has 4 RBI on the night!",Media & Highlights,Media & Highlights,
